Site Title,Post Time,Description,Location,Price,Link
Gumtree,23-10-2020 20:34:01 AEST+1000,FREE - two modern net curtains and rods.,"Brisbane South West, St Lucia. Ad listed 22 minutes ago.",not listed .,https://www.gumtree.com.au/s-ad/st-lucia/curtains-blinds/free-two-modern-net-curtains-and-rods/1259745098
Gumtree,23-10-2020 20:20:01 AEST+1000,"FREE - blue curtains, rods, tie backs.","Brisbane South West, St Lucia. Ad listed 36 minutes ago.",not listed .,https://www.gumtree.com.au/s-ad/st-lucia/curtains-blinds/free-blue-curtains-rods-tie-backs/1259744259
Gumtree,23-10-2020 20:07:01 AEST+1000,Chest of drawers with 3 drawers.,"Pine Rivers Area, Joyner. Ad listed 49 minutes ago.",not listed .,https://www.gumtree.com.au/s-ad/joyner/dressers-drawers/chest-of-drawers-with-3-drawers/1259743522
